"comparison","diff","lwr_CI","upr_CI","p_adj"
"HDR7:In_pTDH3_mUKG1-HDR4: In_pGK1_yUKG1",0.0907903465930495,-0.389763529825717,0.571344223011816,0.999995479153528
"HDR8: In_pTDH3_yUKG1-HDR4: In_pGK1_yUKG1",0.287457187315113,-0.132915509399073,0.707829884029298,0.544515798063759
"HDR9: In_pTDH3_Staygold-HDR4: In_pGK1_yUKG1",-0.497256123826617,-0.988774617313813,-0.00573763033942098,0.0443328928198983
"HDR6:In_pGK1_yStaygold-HDR5: In_pGK1_Staygold",-0.498050053034945,-0.951459038014725,-0.0446410680551642,0.0170621087292686
"HDR7:In_pTDH3_mUKG1-HDR5: In_pGK1_Staygold",0.301886388837172,-0.207817968274615,0.81159074594896,0.76241236342416
"HDR8: In_pTDH3_yUKG1-HDR5: In_pGK1_Staygold",0.498553229559235,0.045144244579455,0.951962214539016,0.0168438461551207
"HDR9: In_pTDH3_Staygold-HDR5: In_pGK1_Staygold",-0.286160081582494,-0.806214821929663,0.233894658764674,0.843703727956803
"HDR7:In_pTDH3_mUKG1-HDR6:In_pGK1_yStaygold",0.799936441872117,0.327813989778407,1.27205889396583,2.47038408640599e-06
"HDR8: In_pTDH3_yUKG1-HDR6:In_pGK1_yStaygold",0.99660328259418,0.585895617980246,1.40731094720811,1.23445698108071e-12
"HDR9: In_pTDH3_Staygold-HDR6:In_pGK1_yStaygold",0.21188997145245,-0.271388427681835,0.695168370586736,0.969196589675914
"HDR8: In_pTDH3_yUKG1-HDR7:In_pTDH3_mUKG1",0.196666840722063,-0.275455611371647,0.668789292815773,0.979914606319745
"HDR9: In_pTDH3_Staygold-HDR7:In_pTDH3_mUKG1",-0.588046470419667,-1.12449482307642,-0.0515981177629142,0.0175168946920126
"HDR9: In_pTDH3_Staygold-HDR8: In_pTDH3_yUKG1",-0.78471331114173,-1.26799171027601,-0.301434912007444,8.3705981873683e-06
