Sample #,Section,Transformation type,Colony Color,Mean FITC (GFP),Mean FITC each group,Standard Deviation
573,C01,HDR8: In_pTDH3_yUKG1,Red,"2,617.40",,
616,C02,HDR8: In_pTDH3_yUKG1,Red,"1,874.93",,
670,C02,HDR8: In_pTDH3_yUKG1,Red,"30,365.17",,
679,C02,HDR8: In_pTDH3_yUKG1,Red,"45,166.18",,
688,C02,HDR8: In_pTDH3_yUKG1,Red,"26,507.45",,
708,D01,HDR8: In_pTDH3_yUKG1,Red,"33,904.01",,
750,D01,HDR8: In_pTDH3_yUKG1,Red,"46,644.00",,
812,D02,HDR8: In_pTDH3_yUKG1,Red,"27,347.88",,
821,D02,HDR8: In_pTDH3_yUKG1,Red,"120,964.38",,
992,E01,HDR8: In_pTDH3_yUKG1,Red,"30,961.58",,
1019,E02,HDR8: In_pTDH3_yUKG1,Red,"389,410.74",,
"1,085",E02,HDR8: In_pTDH3_yUKG1,Red,"44,374.03",,
1176,F01,HDR8: In_pTDH3_yUKG1,red,"24,782.79",,
1193,F01,HDR8: In_pTDH3_yUKG1,red,"35,841.39",,
1272,F02,HDR8: In_pTDH3_yUKG1,red,"26,267.07",,
1288,F02,HDR8: In_pTDH3_yUKG1,red,"49,029.98",,
129,A01,HDR9: In_pTDH3_Staygold,Red,"15,251.53","7,888.40",6064.284663
228,A02,HDR9: In_pTDH3_Staygold,Red,"9,200.84",,
352,B01,HDR9: In_pTDH3_Staygold,Red,1705.87,,
452,B02,HDR9: In_pTDH3_Staygold,Red,"8,478.17",,
627,C02,HDR9: In_pTDH3_Staygold,Red,874.57,,
767,D01,HDR9: In_pTDH3_Staygold,Red,"15,792.16",,
813,D02,HDR9: In_pTDH3_Staygold,Red,"13,189.11",,
921,E01,HDR9: In_pTDH3_Staygold,Red,"1,686.14",,
"1,028",E02,HDR9: In_pTDH3_Staygold,Red,"9,977.61",,
1104,F01,HDR9: In_pTDH3_Staygold,red,"4,057.39",,
1105,F01,HDR9: In_pTDH3_Staygold,red,510.34,,
1152,F01,HDR9: In_pTDH3_Staygold,red,"4,716.01",,
1153,F01,HDR9: In_pTDH3_Staygold,red,"17,109.40",,
